n,question,items,core_dsm_symptoms,louvain_comm_consensus_r1.086,walktrap_communities
10,Había perdido interés en sus actividades diarias,cesd_10,anhedonia,3,4
21,Tener poco interés o disfrutar poco haciendo las cosas,phq_01,anhedonia,3,4
53,Sentí que nada me interesaba,promis_24,anhedonia,7,4
95,Todavía disfruto con lo que antes me gustaba,hads_02,anhedonia,8,2
70,Interés general,qids_13,anhedonia,8,4
85,He sido incapaz de entusiasmarse por nada,dass_16,anhedonia,11,3
83,He sentido que no había nada que me ilusionara,dass_10,anhedonia,11,4
1,Tenía apetito,cesd_01,apetite/weight,1,1
18,Perdió peso sin intentarlo,cesd_18,apetite/weight,1,1
63,Ha habido disminución del apetito,qids_06,apetite/weight,1,1
65,Ha habido pérdida de peso,qids_08,apetite/weight,1,1
25,Tener poco apetito o comer en exceso,phq_05,apetite/weight,6,2
64,Ha habido aumento del apetito,qids_07,apetite/weight,6,2
66,Ha habido aumento de peso,qids_09,apetite/weight,6,2
3,Tenía dificultad para mantener su mente en lo que estaba haciendo,cesd_03,concentration,3,4
20,Era difícil concentrarse en las cosas importantes,cesd_20,concentration,3,4
27,Tener dificultades para concentrarse en cosas tales como leer el periódico o ver la televisión,phq_07,concentration,3,4
67,Concentración/Toma de decisiones,qids_10,concentration,6,2
45,Tuve problemas para tomar decisiones,promis_16,concentration,7,4
82,Me ha resultado difícil tener iniciativa para hacer cosas,dass_05,concentration,11,2
87,He sentido que la vida no tenía ningún sentido,dass_21,depressed mood,1,3
36,Me sentí triste,promis_07,depressed mood,2,2
2,No podía quitarse la tristeza,cesd_02,depressed mood,2,4
4,Se sentía deprimido/a,cesd_04,depressed mood,2,4
6,Se sintió triste,cesd_06,depressed mood,2,4
22,"Sentirse desanimado/a, deprimido/a o sin esperanza",phq_02,depressed mood,2,4
44,Me sentí deprimido/a,promis_15,depressed mood,2,4
62,Sentirse triste,qids_05,depressed mood,2,4
8,Nada le hacía feliz,cesd_08,depressed mood,3,4
37,Sentí que quería darme por vencido/a en todo,promis_08,depressed mood,5,4
39,Me sentí fracasado/a,promis_10,depressed mood,5,4
46,Me sentí desanimado/a acerca del futuro,promis_17,depressed mood,7,2
48,Me sentí descontento/a,promis_19,depressed mood,7,2
31,Sentí que nada me ilusionaba,promis_02,depressed mood,7,4
33,Me distancié de los demás,promis_04,depressed mood,7,4
34,Sentí que nada me podía animar,promis_05,depressed mood,7,4
40,Me costó trabajo sentir una relación estrecha (cercana) con la gente,promis_11,depressed Mood,7,4
43,Me sentí solo/a,promis_14,depressed mood,7,4
47,Descubrí que había cosas en mi vida que eran demasiado para mí,promis_18,depressed mood,7,4
50,Me sentí desesperanzado/a,promis_21,depressed mood,7,4
51,Sentí que la gente no me hacía caso,promis_22,depressed mood,7,4
52,Me sentí angustiado/a sin ningún motivo,promis_23,depressed mood,7,4
