"","items","dimension","n"
"1","cesd_01","1",1
"18","cesd_18","1",18
"25","phq_05","1",25
"63","qids_06","1",63
"64","qids_07","1",64
"65","qids_08","1",65
"66","qids_09","1",66
"2","cesd_02","2",2
"3","cesd_03","2",3
"4","cesd_04","2",4
"6","cesd_06","2",6
"7","cesd_07","2",7
"8","cesd_08","2",8
"10","cesd_10","2",10
"13","cesd_13","2",13
"16","cesd_16","2",16
"17","cesd_17","2",17
"20","cesd_20","2",20
"21","phq_01","2",21
"22","phq_02","2",22
"24","phq_04","2",24
"27","phq_07","2",27
"36","promis_07","2",36
"44","promis_15","2",44
"62","qids_05","2",62
"5","cesd_05","3",5
"19","cesd_19","3",19
"23","phq_03","3",23
"58","qids_01","3",58
"59","qids_02","3",59
"60","qids_03","3",60
"9","cesd_09","4",9
"12","cesd_12","4",12
"28","phq_08","4",28
"71","qids_14","4",71
"72","qids_15","4",72
"98","hads_08","4",98
"115","sas_07","4",115
"11","cesd_11","5",11
"14","cesd_14","5",14
"15","cesd_15","5",15
"29","phq_09","5",29
"49","promis_20","5",49
"61","qids_04","5",61
"69","qids_12","5",69
"26","phq_06","6",26
"30","promis_01","6",30
"31","promis_02","6",31
"32","promis_03","6",32
"33","promis_04","6",33
"34","promis_05","6",34
"35","promis_06","6",35
"37","promis_08","6",37
"38","promis_09","6",38
"39","promis_10","6",39
"40","promis_11","6",40
"41","promis_12","6",41
"42","promis_13","6",42
"43","promis_14","6",43
"45","promis_16","6",45
"46","promis_17","6",46
"47","promis_18","6",47
"48","promis_19","6",48
"50","promis_21","6",50
"51","promis_22","6",51
"52","promis_23","6",52
"53","promis_24","6",53
"54","promis_25","6",54
"55","promis_26","6",55
"56","promis_27","6",56
"57","promis_28","6",57
"67","qids_10","7",67
"68","qids_11","7",68
"70","qids_13","7",70
"81","dass_03","7",81
"82","dass_05","7",82
"83","dass_10","7",83
"84","dass_13","7",84
"85","dass_16","7",85
"86","dass_17","7",86
"87","dass_21","7",87
"95","hads_02","7",95
"96","hads_04","7",96
"97","hads_06","7",97
"99","hads_10","7",99
"100","hads_12","7",100
"101","hads_14","7",101
"73","qids_16","8",73
"88","hads_01","8",88
"90","hads_05","8",90
"91","hads_07","8",91
"93","hads_11","8",93
"102","gad_01","8",102
"103","gad_02","8",103
"104","gad_03","8",104
"105","gad_04","8",105
"106","gad_05","8",106
"107","gad_06","8",107
"109","sas_01","8",109
"74","dass_02","9",74
"75","dass_04","9",75
"76","dass_07","9",76
"77","dass_09","9",77
"78","dass_15","9",78
"79","dass_19","9",79
"80","dass_20","9",80
"89","hads_03","9",89
"92","hads_09","9",92
"94","hads_13","9",94
"108","gad_07","9",108
"110","sas_02","9",110
"111","sas_03","9",111
"112","sas_04","9",112
"113","sas_05","9",113
"114","sas_06","9",114
"116","sas_08","9",116
"117","sas_09","9",117
"118","sas_10","9",118
"119","sas_11","9",119
"120","sas_12","9",120
"121","sas_13","9",121
"122","sas_14","9",122
"123","sas_15","9",123
